Set,Method,Joules,milliSeconds
ConcurrentSkipListSet,add,5.1254,284
ConcurrentSkipListSet,remove,5.0868,260
ConcurrentSkipListSet,addAll,6.3474,391
ConcurrentSkipListSet,contains,5.0685,272
ConcurrentSkipListSet,removeAll,5.7957,364
ConcurrentSkipListSet,iterator,4.9175,249
ConcurrentSkipListSet,containsAll,6.5672,351
ConcurrentSkipListSet,toArray,5.3265,270
ConcurrentSkipListSet,clear,4.2285,246
ConcurrentSkipListSet,retainAll,184.7828,17079
ConcurrentSkipListSet,iterateAll,5.4969,266
HashSet,add,5.5141,305
HashSet,remove,5.3462,270
HashSet,addAll,5.5436,307
HashSet,contains,5.2959,290
HashSet,removeAll,4.9622,295
HashSet,iterator,5.4548,290
HashSet,containsAll,5.5917,291
HashSet,toArray,5.7374,305
HashSet,clear,4.1085,227
HashSet,retainAll,186.6178,17367
HashSet,iterateAll,6.2567,298
LinkedHashSet,add,5.2348,277
LinkedHashSet,remove,4.8186,255
LinkedHashSet,addAll,5.0125,279
LinkedHashSet,contains,6.0423,251
LinkedHashSet,removeAll,5.2345,260
LinkedHashSet,iterator,5.1849,265
LinkedHashSet,containsAll,5.1875,259
LinkedHashSet,toArray,4.7959,271
LinkedHashSet,clear,4.6213,241
LinkedHashSet,retainAll,179.7946,16563
LinkedHashSet,iterateAll,5.3597,270
TreeSet,add,4.2959,233
TreeSet,remove,4.2111,225
TreeSet,addAll,4.5978,288
TreeSet,contains,4.5884,216
TreeSet,removeAll,4.7445,278
TreeSet,iterator,4.1703,214
TreeSet,containsAll,4.4657,254
TreeSet,toArray,4.5845,245
TreeSet,clear,4.2033,229
TreeSet,retainAll,188.2510,17516
TreeSet,iterateAll,4.3067,247
