Map,Method,Joules,milliSeconds
ConcurrentHashMap,clear,2.0276,94
ConcurrentHashMap,containsKey,2.3132,105
ConcurrentHashMap,containsValue,21.5611,2305
ConcurrentHashMap,entrySet,2.2878,93
ConcurrentHashMap,get,2.3106,103
ConcurrentHashMap,keySet,1.7287,95
ConcurrentHashMap,put,1.8591,104
ConcurrentHashMap,putAll,1.4147,95
ConcurrentHashMap,remove,1.8574,92
ConcurrentHashMap,values,1.8279,85
ConcurrentHashMap,iterateAll,2.1041,96
ConcurrentSkipListMap,clear,2.2961,88
ConcurrentSkipListMap,containsKey,2.1693,123
ConcurrentSkipListMap,containsValue,7.8032,643
ConcurrentSkipListMap,entrySet,2.2363,116
ConcurrentSkipListMap,get,1.9972,119
ConcurrentSkipListMap,keySet,2.4889,124
ConcurrentSkipListMap,put,2.2888,102
ConcurrentSkipListMap,putAll,2.2852,122
ConcurrentSkipListMap,remove,2.2131,105
ConcurrentSkipListMap,values,2.4690,116
ConcurrentSkipListMap,iterateAll,1.8353,115
HashMap,clear,1.8395,104
HashMap,containsKey,2.1343,103
HashMap,containsValue,8.3615,683
HashMap,entrySet,1.8531,108
HashMap,get,1.8120,102
HashMap,keySet,1.6813,114
HashMap,put,2.4628,92
HashMap,putAll,1.7564,100
HashMap,remove,1.9256,109
HashMap,values,2.5755,109
HashMap,iterateAll,2.6673,100
Hashtable,clear,1.5761,94
Hashtable,containsKey,1.8582,94
Hashtable,containsValue,8.4957,765
Hashtable,entrySet,2.1332,107
Hashtable,get,1.4071,100
Hashtable,keySet,2.2226,99
Hashtable,put,1.3123,96
Hashtable,putAll,1.5949,105
Hashtable,remove,1.6067,97
Hashtable,values,2.2266,94
Hashtable,iterateAll,1.5343,91
LinkedHashMap,clear,1.5025,97
LinkedHashMap,containsKey,1.8726,103
LinkedHashMap,containsValue,6.1326,462
LinkedHashMap,entrySet,1.8362,113
LinkedHashMap,get,1.8252,116
LinkedHashMap,keySet,1.8328,103
LinkedHashMap,put,2.0338,108
LinkedHashMap,putAll,1.8608,113
LinkedHashMap,remove,2.2300,106
LinkedHashMap,values,2.0009,107
LinkedHashMap,iterateAll,1.6462,111
SimpleBindings,clear,2.1401,106
SimpleBindings,containsKey,1.8055,99
SimpleBindings,containsValue,7.9912,678
SimpleBindings,entrySet,2.1557,102
SimpleBindings,get,1.5359,100
SimpleBindings,keySet,2.0630,106
SimpleBindings,put,2.1646,102
SimpleBindings,putAll,2.1461,112
SimpleBindings,remove,2.2178,106
SimpleBindings,values,2.0692,108
SimpleBindings,iterateAll,2.0472,116
Properties,clear,2.0777,98
Properties,containsKey,1.6018,107
Properties,containsValue,7.3755,692
Properties,entrySet,1.7800,97
Properties,get,1.7851,97
Properties,keySet,1.4866,92
Properties,put,1.7038,107
Properties,putAll,1.3097,95
Properties,remove,1.9660,98
Properties,values,1.9120,111
Properties,iterateAll,1.6362,100
TreeMap,clear,1.6706,98
TreeMap,containsKey,1.9452,100
TreeMap,containsValue,9.1771,847
TreeMap,entrySet,2.1617,115
TreeMap,get,2.2331,115
TreeMap,keySet,2.1680,110
TreeMap,put,1.4355,91
TreeMap,putAll,1.8914,116
TreeMap,remove,1.8133,101
TreeMap,values,1.4467,105
TreeMap,iterateAll,1.9122,111
UIDefaults,clear,1.8143,105
UIDefaults,containsKey,2.3366,89
UIDefaults,containsValue,7.9341,714
UIDefaults,entrySet,1.7087,105
UIDefaults,get,1.5252,89
UIDefaults,keySet,1.5547,99
UIDefaults,put,2.1204,93
UIDefaults,putAll,2.3094,87
UIDefaults,remove,1.6888,92
UIDefaults,values,1.6533,100
UIDefaults,iterateAll,1.6574,95
WeakHashMap,clear,1.9941,95
WeakHashMap,containsKey,1.9675,108
WeakHashMap,containsValue,6.7072,562
WeakHashMap,entrySet,1.4666,102
WeakHashMap,get,1.7185,103
WeakHashMap,keySet,1.8749,105
WeakHashMap,put,2.5784,105
WeakHashMap,putAll,2.0750,108
WeakHashMap,remove,2.4103,103
WeakHashMap,values,2.4628,111
WeakHashMap,iterateAll,1.7139,106
