List,Method,Joules,milliSeconds
ArrayList,add,0.9773,71
ArrayList,remove,1.1308,96
ArrayList,addAll,1.3353,76
ArrayList,contains,2.7568,166
ArrayList,removeAll,8.0905,671
ArrayList,iterator,1.4893,84
ArrayList,containsAll,1.5993,87
ArrayList,toArray,1.6418,84
ArrayList,clear,1.1284,76
ArrayList,retainAll,2.7037,193
ArrayList,addI,1.7125,93
ArrayList,addAlli,1.7855,86
ArrayList,get,2.0029,83
ArrayList,indexOf,1.4447,76
ArrayList,lastIndexOf,1.7750,99
ArrayList,set,0.9476,64
ArrayList,sublist,1.3108,76
ArrayList,listIterator,1.4457,76
ArrayList,listIteratori,1.7356,78
ArrayList,removei,1.9135,85
ArrayList,iterateAll,2.0701,79
AttributeList,add,1.1510,67
AttributeList,remove,1.4480,85
AttributeList,addAll,1.0492,88
AttributeList,contains,2.4228,165
AttributeList,removeAll,7.8108,697
AttributeList,iterator,1.1589,84
AttributeList,containsAll,1.8053,92
AttributeList,toArray,1.5024,84
AttributeList,clear,1.2409,75
AttributeList,retainAll,2.7845,200
AttributeList,addI,1.3849,87
AttributeList,addAlli,1.6035,68
AttributeList,get,1.1171,78
AttributeList,indexOf,2.0325,84
AttributeList,lastIndexOf,1.7666,98
AttributeList,set,1.5943,70
AttributeList,sublist,1.6021,80
AttributeList,listIterator,1.6190,84
AttributeList,listIteratori,1.1552,81
AttributeList,removei,1.3534,92
AttributeList,iterateAll,1.0473,77
CopyOnWriteArrayList,add,1.7839,117
CopyOnWriteArrayList,remove,2.1946,162
CopyOnWriteArrayList,addAll,1.3586,82
CopyOnWriteArrayList,contains,3.1768,167
CopyOnWriteArrayList,removeAll,7.3237,666
CopyOnWriteArrayList,iterator,1.3922,72
CopyOnWriteArrayList,containsAll,2.1889,92
CopyOnWriteArrayList,toArray,2.0934,73
CopyOnWriteArrayList,clear,1.7155,68
CopyOnWriteArrayList,retainAll,2.6052,198
CopyOnWriteArrayList,addI,1.6558,119
CopyOnWriteArrayList,addAlli,1.1789,86
CopyOnWriteArrayList,get,1.4918,77
CopyOnWriteArrayList,indexOf,1.5682,70
CopyOnWriteArrayList,lastIndexOf,2.0383,94
CopyOnWriteArrayList,set,1.9669,110
CopyOnWriteArrayList,sublist,1.4792,80
CopyOnWriteArrayList,listIterator,1.3737,71
CopyOnWriteArrayList,listIteratori,1.5160,77
CopyOnWriteArrayList,removei,2.2858,118
CopyOnWriteArrayList,iterateAll,1.0103,73
LinkedList,add,1.8016,86
LinkedList,remove,1.6924,98
LinkedList,addAll,1.1043,88
LinkedList,contains,3.1552,193
LinkedList,removeAll,8.3150,752
LinkedList,iterator,1.7666,108
LinkedList,containsAll,2.2887,118
LinkedList,toArray,1.6739,106
LinkedList,clear,1.6497,74
LinkedList,retainAll,2.5982,205
LinkedList,addI,1.6404,96
LinkedList,addAlli,1.7272,99
LinkedList,get,2.0168,109
LinkedList,indexOf,2.6289,101
LinkedList,lastIndexOf,2.5019,127
LinkedList,set,2.0474,112
LinkedList,sublist,1.8457,98
LinkedList,listIterator,2.5003,106
LinkedList,listIteratori,2.1996,105
LinkedList,removei,1.7174,100
LinkedList,iterateAll,2.6401,107
RoleList,add,1.4801,76
RoleList,remove,1.4560,84
RoleList,addAll,1.6661,76
RoleList,contains,2.1751,162
RoleList,removeAll,7.6148,692
RoleList,iterator,1.9760,73
RoleList,containsAll,1.3244,100
RoleList,toArray,1.5418,79
RoleList,clear,1.6705,76
RoleList,retainAll,3.0973,197
RoleList,addI,1.2718,85
RoleList,addAlli,1.5980,81
RoleList,get,2.2110,81
RoleList,indexOf,1.5674,79
RoleList,lastIndexOf,1.8914,92
RoleList,set,1.5249,76
RoleList,sublist,1.4910,85
RoleList,listIterator,1.3380,80
RoleList,listIteratori,1.7588,79
RoleList,removei,1.6308,85
RoleList,iterateAll,1.3605,85
RoleUnresolvedList,add,1.1865,74
RoleUnresolvedList,remove,1.1368,85
RoleUnresolvedList,addAll,1.8672,88
RoleUnresolvedList,contains,2.4688,164
RoleUnresolvedList,removeAll,7.9911,664
RoleUnresolvedList,iterator,1.3300,79
RoleUnresolvedList,containsAll,1.3930,96
RoleUnresolvedList,toArray,1.7455,83
RoleUnresolvedList,clear,1.4304,80
RoleUnresolvedList,retainAll,2.4172,200
RoleUnresolvedList,addI,1.3124,86
RoleUnresolvedList,addAlli,1.2497,85
RoleUnresolvedList,get,1.6613,71
RoleUnresolvedList,indexOf,1.1944,81
RoleUnresolvedList,lastIndexOf,1.4211,95
RoleUnresolvedList,set,1.2312,73
RoleUnresolvedList,sublist,1.5117,71
RoleUnresolvedList,listIterator,1.5176,85
RoleUnresolvedList,listIteratori,1.0334,80
RoleUnresolvedList,removei,1.6369,89
RoleUnresolvedList,iterateAll,1.7822,71
Stack,add,1.5659,76
Stack,remove,1.2663,96
Stack,addAll,1.1015,88
Stack,contains,2.0128,166
Stack,removeAll,7.3824,654
Stack,iterator,2.1895,84
Stack,containsAll,1.2054,89
Stack,toArray,1.5694,69
Stack,clear,1.6199,73
Stack,retainAll,2.7635,242
Stack,addI,1.5287,83
Stack,addAlli,1.2962,72
Stack,get,1.8956,86
Stack,indexOf,1.8090,81
Stack,lastIndexOf,1.2260,84
Stack,set,1.4938,75
Stack,sublist,1.7082,75
Stack,listIterator,1.6354,69
Stack,listIteratori,1.8799,85
Stack,removei,1.5850,81
Stack,iterateAll,1.6036,81
Vector,add,1.5177,69
Vector,remove,1.4973,82
Vector,addAll,1.7903,73
Vector,contains,2.1558,168
Vector,removeAll,7.1281,665
Vector,iterator,1.6505,83
Vector,containsAll,1.5091,87
Vector,toArray,2.0213,80
Vector,clear,1.0574,71
Vector,retainAll,3.4019,245
Vector,addI,1.4554,86
Vector,addAlli,1.6268,90
Vector,get,1.4978,73
Vector,indexOf,2.0788,75
Vector,lastIndexOf,1.2296,96
Vector,set,1.4957,72
Vector,sublist,0.9414,75
Vector,listIterator,1.2746,81
Vector,listIteratori,1.7545,78
Vector,removei,1.5486,90
Vector,iterateAll,1.1336,87
